titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Harakiri;24-juil-63;Drame;2h 15min;Masaki Kobayashi;Tatsuya Nakadai, Shima Iwashita, Akira Ishihama;japonais;Au XVIIe siècle, le Japon n'est plus en guerre et le pays est dirigé avec fermeté. Hanshirô Tsugumo, un rônin (samouraï errant) sans travail parmi tant d'autres, décide de frapper à la porte du puissant clan des Ii. Reçu par Kageyu Saitô, l'intendant du clan, il lui demande la permission d'accomplir le suicide par harakiri dans la résidence. Tentant de l'en dissuader, Saitô commence alors à lui raconter l'histoire de Motome Chijiwa, un ancien rônin qui souhaitait accomplir, lui aussi, le même rituel.;Carlotta Films;1 prix et 2 nominations;25/08/2003;-;-;27880;4,6;4,3;5 critiques;537 notes dont 59 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=103716.html
My Name Is Khan;26-mai-10;Drame, Bollywood;2h 40min;Karan Johar;Shah Rukh Khan, Kajol Devgn, Shane Harper;indien;Rizvan Khan est un enfant musulman qui a grandi avec sa mère dans le Borivali de Mumbai en Inde et qui souffre du syndrome d'Asperger. À l'âge adulte, Rizvan tombe amoureux d'une coiffeuse Mandira avec qui il se marie. Le couple s'installe à San Francisco. Après le 11 septembre 2001, il est pris pour un terroriste car son handicap le rend suspect. Après son arrestation, il essaye de rencontrer le président des États Unis afin de retrouver l'amour de sa femme.;Twentieth Century Fox France;3 prix et 2 nominations;01/02/2013;42 166 entrées;-;126037;3,4;4,3;17 critiques;959 notes dont 236 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=175624.html
Demain Tout Commence;07-déc-16;Comédie, Drame;1h 58min;Hugo Gélin;Omar Sy, Gloria Colston, Clémence Poésy;britannique;Samuel vit sa vie sans attaches ni responsabilités, au bord de la mer sous le soleil du sud de la France, près des gens qu’il aime et avec qui il travaille sans trop se fatiguer. Jusqu’à ce qu’une de ses anciennes conquêtes lui laisse sur les bras un bébé de quelques mois, Gloria : sa fille ! Incapable de s’occuper d’un bébé et bien décidé à rendre l’enfant à sa mère, Samuel se précipite à Londres pour tenter de la retrouver, sans succès. 8 ans plus tard, alors que Samuel et Gloria ont fait leur vie à Londres et sont devenus inséparables, la mère de Gloria revient dans leur vie pour récupérer sa fille…;Mars Films;2 prix;07/04/2017;3 237 948 entrées;-;144087;3,2;4,3;15 critiques;11093 notes dont 866 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=240944.html
N'oublie jamais;08-sept-04;Drame, Romance;2h 01min;Nick Cassavetes;Ryan Gosling, Rachel McAdams, James Garner;américain;Atteinte de la maladie d'Alzheimer, Allie vit en maison de retraite. Chaque jour, Noah lui lit le même livre. Il s'agit du carnet où Allie a consigné sa propre histoire, lorsqu'elle a appris sa maladie. Pour ne pas oublier ses sentiments, elle a écrit, et Noah, inlassablement, lui relit ses propres mots.A travers eux, on la découvre dans les années trente, éperdument amoureuse d'un jeune homme, Noah, que sa mère fera tout pour éloigner d'elle, sa situation n'étant pas jugée assez bonne.Après des années de séparation, à la fin de la Seconde Guerre mondiale, Allie s'apprête à épouser un avocat. Lorsque, par le journal, elle apprend le retour de Noah, l'envie lui prend de le revoir. Echappant à une vie de convenance, les deux jeunes gens se retrouvent et découvrent que leur amour est resté intact. Ils passeront le reste de leur vie ensemble, jusqu'à ce que la mémoire les sépare.;Metropolitan FilmExport;-;08/02/2005;101 194 entrées;30 000 000 $;-;2,6;4,3;13 critiques;15422 notes dont 935 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=47422.html
Slumdog Millionaire;14-janv-09;Comédie dramatique, Comédie, Romance;2h 00min;Danny Boyle, Loveleen Tandan;Dev Patel, Freida Pinto, Mia Drake;britannique;Jamal Malik, 18 ans, orphelin vivant dans les taudis de Mumbai, est sur le point de remporter la somme colossale de 20 millions de roupies lors de la version indienne de l'émissionIl n'est plus qu'à une question de la victoire lorsque la police l'arrête sur un soupçon de tricherie.Sommé de justifier ses bonnes réponses, Jamal explique d'où lui viennent ses connaissances et raconte sa vie dans la rue, ses histoires de famille et même celle de cette fille dont il est tombé amoureux et qu'il a perdue.Mais comment ce jeune homme est-il parvenu en finale d'une émission de télévision ? La réponse ne fait pas partie du jeu, mais elle est passionnante.;Pathé;26 prix et 19 nominations;15/07/2009;2 703 254 entrées;15 000 000 $;122158;3,5;4,3;26 critiques;51525 notes dont 2985 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=129924.html
Amadeus;31-oct-84;Comédie dramatique, Historique;3h 00min;Milos Forman;Tom Hulce, F. Murray Abraham, Elizabeth Berridge;américain;A Vienne, en novembre 1823. Au coeur de la nuit, un vieil homme égaré clame cette étonnante confession :Ce fantôme, c'est Antonio Salieri, jadis musicien réputé et compositeur officiel de la Cour.Dès l'enfance, il s'était voué tout entier au service de Dieu, s'engageant à le célébrer par sa musique, au prix d'un incessant labeur. Pour prix de ses sacrifices innombrables, il réclamait la gloire éternelle. Son talent, reconnu par l'empereur mélomane Joseph II, valut durant quelques années à Salieri les plus hautes distinctions.Mais, en 1781, un jeune homme arrive à Vienne, précédé d'une flatteuse réputation. Wolfgang Amadeus Mozart est devenu le plus grand compositeur du siècle. Réalisant la menace que représente pour lui ce surdoué arrogant dont il admire le profond génie, Salieri tente de l'évincer.;Warner Bros. France;16 prix et 12 nominations;16/02/2000;4 650 599 entrées;18 000 000 $;-;4,5;4,3;8 critiques;20494 notes dont 898 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=67.html
Le Chant du Loup;20-févr-19;Thriller, Guerre, Action;1h 56min;Antonin Baudry;François Civil, Omar Sy, Mathieu Kassovitz;français;Un jeune homme a le don rare de reconnaître chaque son qu’il entend. A bord d’un sous-marin nucléaire français, tout repose sur lui, l’Oreille d’Or.Réputé infaillible, il commet pourtant une erreur qui met l’équipage en danger de mort. Il veut retrouver la confiance de ses camarades mais sa quête les entraîne dans une situation encore plus dramatique.Dans le monde de la dissuasion nucléaire et de la désinformation, ils se retrouvent tous pris au piège d’un engrenage incontrôlable.;Pathé;1 prix et 2 nominations;26/06/2019;1 543 615 entrées;-;146841;3,5;4,3;27 critiques;17453 notes dont 1445 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=256424.html
Les Indestructibles 2;04-juil-18;Animation, Famille, Aventure;1h 58min;Brad Bird;Gérard Lanvin, Déborah Perret, Louane Emera;américain;Notre famille de super-héros préférée est de retour! Cette fois c’est Hélène qui se retrouve sur le devant de la scène laissant à Bob le soin de mener à bien les mille et une missions de la vie quotidienne et de s’occuper de Violette, Flèche et de bébé Jack-Jack. C’est un changement de rythme difficile pour la famille d’autant que personne ne mesure réellement l’étendue des incroyables pouvoirs du petit dernier… Lorsqu’un nouvel ennemi fait surface, la famille et Frozone vont devoir s’allier comme jamais pour déjouer son plan machiavélique.;The Walt Disney Company France;4 nominations;09/11/2018;5 836 498 entrées;-;148857;4,2;4,3;34 critiques;11052 notes dont 525 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=198937.html
Old Boy;29-sept-04;Thriller, Drame, Action;1h 59min;Park Chan-Wook;Min-sik Choi, Yoo Ji-tae, Kang Hye-Jeong;sud-coréen;A la fin des années 80, Oh Dae-Soo, père de famille sans histoire, est enlevé un jour devant chez lui. Séquestré pendant plusieurs années dans une cellule privée, son seul lien avec l'extérieur est une télévision. Par le biais de cette télévision, il apprend le meurtre de sa femme, meurtre dont il est le principal suspect. Au désespoir d'être séquestré sans raison apparente succède alors chez le héros une rage intérieure vengeresse qui lui permet de survivre. Il est relâché 15 ans plus tard, toujours sans explication. Oh Dae-Soo est alors contacté par celui qui semble être le responsable de ses malheurs, qui lui propose de découvrir qui l'a enlevé et pourquoi. Le cauchemar continue pour le héros.;Bac Films;1 prix et 6 nominations;-;147 038 entrées;3 000 000 $;111221;4;4,3;28 critiques;23091 notes dont 1600 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=54137.html
L'Île aux chiens;11-avr-18;Animation, Aventure;1h 42min;Wes Anderson;Vincent Lindon, Louis Garrel, Romain Duris;américain;En raison d’une épidémie de grippe canine, le maire de Megasaki ordonne la mise en quarantaine de tous les chiens de la ville, envoyés sur une île qui devient alors l’Ile aux Chiens. Le jeune Atari, 12 ans, vole un avion et se rend sur l’île pour rechercher son fidèle compagnon, Spots. Aidé par une bande de cinq chiens intrépides et attachants, il découvre une conspiration qui menace la ville.;Twentieth Century Fox France;2 prix et 11 nominations;22/08/2018;-;-;148312;4,1;4,3;38 critiques;4543 notes dont 268 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=241680.html
La passion de Jeanne d'Arc;25-sept-28;Historique, Biopic, Drame;1h 50min;Carl Theodor Dreyer;Maria Falconetti, Eugene Silvain, Andre Berley;français;En 1431 débute le procès de Jeanne dans le château de Rouen, devant un tribunal ecclésiastique au service de l'occupant anglais. Enchaînée, avec une simplicité désarmante, elle explique ses gestes devant une foule qui a décidé de la condamner avant même le début de son jugement.;Gaumont;-;19/10/1999;-;-;-;4,8;4,3;5 critiques;458 notes dont 63 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=264.html
Dans ses yeux;05-mai-10;Drame, Policier, Romance, Thriller;2h 09min;Juan José Campanella;Ricardo Darín, Soledad Villamil, Pablo Rago;argentin;"1974, Buenos Aires. Benjamin Esposito enquête sur le meurtre violent d'une jeune femme.25 ans plus tard, il décide d'écrire un roman basé sur cette affaire ""classée"" dont il a été témoin et protagoniste. Ce travail d'écriture le ramène à ce meurtre qui l'obsède depuis tant d'années mais également à l'amour qu'il portait alors à sa collègue de travail. Benjamin replonge ainsi dans cette période sombre de l'Argentine où l'ambiance était étouffante et les apparences trompeuses...";Pretty Pictures;5 prix et 10 nominations;-;442 316 entrées;2 000 000 $;125744;3,6;4,3;20 critiques;3988 notes dont 764 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=171223.html
La Cité de Dieu;12-mars-03;Drame, Policier;2h 15min;Fernando Meirelles, Kátia Lund;Alexandre Rodrigues, Leandro Firmino da Hora, Seu Jorge;brésilien;Dans une favela qui a vu le jour à Rio de Janeiro dans les années soixante, Fusée est un gamin noir, pauvre, trop fragile pour devenir hors-la-loi, mais assez malin pour ne pas se contenter d'un travail sous payé. Il grandit dans un environnement violent, mais tente de voir la réalité autrement, avec l'oeil d'un artiste. Il rêve de devenir photographe professionnel.Petit Dé, un enfant de onze ans, emménage dans la Cité. Il souhaite pour sa part devenir le plus grand criminel de Rio et commence son apprentissage en rendant de menus services à la pègre locale. Il admire Tignasse et son gang, qui arraisonnent les camions et cambriolent à tout va. Tignasse donne à Petit Dé l'occasion de commettre un meurtre, le premier d'une longue série...;Mars Distribution;1 prix et 9 nominations;08/06/2004;155 552 entrées;3 300 000 $;104975;3,9;4,3;21 critiques;18778 notes dont 841 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=45264.html
Le Majordome;11-sept-13;Drame, Biopic;2h 12min;Lee Daniels;Forest Whitaker, Oprah Winfrey, Mariah Carey;américain;"Le jeune Cecil Gaines, en quête d'un avenir meilleur, fuit, en 1926, le Sud des États-Unis, en proie à la tyrannie ségrégationniste. Tout en devenant un homme, il acquiert les compétences inestimables qui lui permettent d’atteindre une fonction très convoitée : majordome de la Maison-Blanche. C'est là que Cecil devient, durant sept présidences, un témoin privilégié de son temps et des tractations qui ont lieu au sein du Bureau Ovale.À la maison, sa femme, Gloria, élève leurs deux fils, et la famille jouit d'une existence confortable grâce au poste de Cecil. Pourtant, son engagement suscite des tensions dans son couple : Gloria s'éloigne de lui et les disputes avec l'un de ses fils, particulièrement anticonformiste, sont incessantes.À travers le regard de Cecil Gaines, le film retrace l'évolution de la vie politique américaine et des relations entre communautés. De l'assassinat du président Kennedy et de Martin Luther King au mouvement des ""Black Panthers"", de la guerre du Vietnam au scandale du Watergate, Cecil vit ces événements de l'intérieur, mais aussi en père de famille…";Metropolitan FilmExport;6 nominations;11/01/2014;1 932 081 entrées;30 000 000 $;137844;3,2;4,3;20 critiques;18761 notes dont 1271 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=188951.html
Des gens bien;03-avr-19;Comédie dramatique;1h 27min;Bruno Lopez, Emmanuel Vieilly;Paloma Lopez (III), Bruno Lopez, Emmanuel Vieilly;français;"Au cours d'un casse raté, Gabriel et Raphaël, deux braqueurs du dimanche, s'enfuient en prenant accidentellement en otage Paloma, une fillette de 8 ans. Michel, flic d'expérience, met un point d'honneur à arrêter les deux hommes et à récupérer la gamine. Très vite Gabriel et Raphaël découvrent que la fillette n'est pas seule. Paco, son ""ami"" imaginaire, l'accompagne et la protège contre un lourd secret... Paloma est une enfant battue par ses parents. Ils ont désormais le choix :  rendre la fillette à ces bourreaux et être des salauds, où la garder avec eux et passer pour des salauds.";Helo distribution;-;-;-;-;143205;-;4,3;-;409 notes dont 193 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=270800.html
Le Crime était presque parfait;02-févr-55;Thriller, Policier;1h 45min;Alfred Hitchcock;Ray Milland, Grace Kelly, Robert Cummings;américain;Tony Wendice, une ancienne gloire du tennis, s'est marié avec Margot pour sa richesse. Mais celle-ci le trompe depuis peu avec Mark Halliday, un jeune auteur de romans policiers.Craignant que sa femme le quitte et le laisse sans le sou, Tony fait appel au capitaine Lesgate et le charge d'assassiner Margot en échange d'une grosse somme d'argent.;Théâtre du Temple;-;06/04/2005;2 320 635 entrées;1 400 000 $;15714;4,4;4,3;8 critiques;6631 notes dont 281 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=700.html
Voyage à Tokyo;08-févr-78;Drame;2h 16min;Yasujirô Ozu;Chishu Ryu, Chieko Higashiyama, Setsuko Hara;japonais;Un couple âgé entreprend un voyage pour rendre visite à ses enfants. D’abord accueillis avec les égards qui leur sont dus, les parents s’avèrent bientôt dérangeants. Seule Noriko, la veuve de leur fils mort à la guerre, semble réellement contente de les voir et trouve du temps à leur consacrer. Les enfants, quant à eux, se cotisent pour leur offrir un séjour dans la station thermale d’Atami, loin de Tokyo…;Carlotta Films;3 nominations;09/10/2013;-;-;48883;4,8;4,3;8 critiques;574 notes dont 64 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=986.html
Snatch;15-nov-00;Policier, Comédie;1h 43min;Guy Ritchie;Jason Statham, Brad Pitt, Vinnie Jones;américain;Franky vient de voler un énorme diamant qu'il doit livrer à Avi, un mafieux new-yorkais. En chemin, il fait escale à Londres où il se laisse convaincre par Boris de parier sur un combat de boxe clandestin. Il ignore, bien sûr, qu'il s'agit d'un coup monté avec Vinny et Sol, afin de le délester de son magnifique caillou. Turkish et Tommy, eux, ont un problème avec leur boxeur, un gitan complètement fêlé qui refuse de se coucher au quatrièmecomme prévu. C'est au tour d'Avi de débarquer, bien décidé à récupérer son bien, avec l'aide de Tony, une légende de la gâchette.;Columbia TriStar Films;-;07/02/2003;573 815 entrées;10 000 000 $;100782;3,7;4,3;12 critiques;39941 notes dont 1576 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=26251.html
Le Trou;18-mars-60;Drame, Thriller;2h 12min;Jacques Becker;Michel Constantin, Jean Keraudy, Philippe Leroy;italien;Accusé de tentative de meurtre sur sa femme, Claude Gaspard est enfermé à la prison de la Santé. Ses quatre compagnons de cellule lui font part de leur désir d'évasion et creusent, avec une énergie farouche, un tunnel qui les mènera à la liberté. Leur plan aboutira-t-il ?;Les Acacias;2 nominations;30/08/2011;1 382 572 entrées;-;21353;-;4,3;-;809 notes dont 76 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=1101.html
Star Wars : Episode III - La Revanche des Sith;18-mai-05;Science fiction, Action, Aventure;2h 20min;George Lucas;Hayden Christensen, Ewan McGregor, Natalie Portman;américain;La Guerre des Clones fait rage. Une franche hostilité oppose désormais le Chancelier Palpatine au Conseil Jedi. Anakin Skywalker, jeune Chevalier Jedi pris entre deux feux, hésite sur la conduite à tenir. Séduit par la promesse d'un pouvoir sans précédent, tenté par le côté obscur de la Force, il prête allégeance au maléfique Darth Sidious et devient Dark Vador.Les Seigneurs Sith s'unissent alors pour préparer leur revanche, qui commence par l'extermination des Jedi. Seuls rescapés du massacre, Yoda et Obi Wan se lancent à la poursuite des Sith. La traque se conclut par un spectaculaire combat au sabre entre Anakin et Obi Wan, qui décidera du sort de la galaxie.;20th Century Fox;5 prix et 13 nominations;24/04/2020;7 230 417 entrées;115 000 000 $;111512;3,9;4,3;23 critiques;68973 notes dont 3542 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=40623.html
Le Réseau Shelburn;22-janv-20;Guerre, Drame;2h 03min;Nicolas Guillou;Alexandra Robert, Laurent Chandemerle, Brice Ormain;français;Pendant la Seconde Guerre mondiale plus de 10.000 avions alliés tombent sur le sol français. De 1943 à 1944, le Réseau Shelburn est mis en place par les alliés et la Résistance Française pour évacuer les aviateurs vers l'Angleterre. Dans les Côtes du Nord à Plouha, Marie-Thérèse Le Calvez, résistante depuis les premiers jours de l'occupation, va mettre son courage au service de la liberté. Baignée entre incertitude et désespoir, quel prix devra-t-elle payer pour que l'opération soit une réussite ?;Vent d'Ouest Distribution;-;-;-;-;151494;2,9;4,2;7 critiques;234 notes dont 118 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=271841.html
N.W.A - Straight Outta Compton;16-sept-15;Biopic, Drame, Musical;2h 27min;F. Gary Gray;O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell;américain;En 1987, cinq jeunes hommes exprimaient leur frustration et leur colère pour dénoncer les conditions de vie de l'endroit le plus dangereux de l’Amérique avec l'arme la plus puissante qu'ils possédaient : leur musique. Voici la véritable histoire de ces rebelles, armés uniquement de leur parole, de leur démarche assurée et de leur talent brut, qui ont résisté aux autorités qui les opprimaient. Ils ont ainsi formé le groupe de rappeur des N.W.A. en dénonçant la réalité de leur quartier. Leur voix a alors déclenché une révolution sociale qui résonne encore aujourd'hui.;Universal Pictures International France;4 nominations;19/01/2016;549 660 entrées;-;143009;3,2;4,2;19 critiques;4374 notes dont 267 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=197685.html
